x,y,u_x,u_y,eps_xx,eps_yy,gamma_xy,sigma_xx,sigma_yy,sigma_xy
0.9369231924019747,0.06669348057338154,0.0037577012821152903,-0.13736204822810424,0.000493318352240632,-0.00015946104508846037,-0.0006773718959362518,120137984.49769212,14689004.929146426,-54710806.9794665
0.930190611946776,0.02016456304430221,-0.006714298171342779,-0.13584588352278834,-0.0009973728751964108,0.000336759514139251,-0.0012318495525796003,-241149929.35211456,-25636235.690199975,-99495540.78527541
0.3900418781406739,0.025914741690177382,-0.0034112403383909683,-0.03020455451947343,-0.006843901521742106,0.002971226042574923,0.0030316450844697362,-1574742851.9497488,10777754.593771283,244863641.43794024
0.5521399956281015,0.055487140961736986,0.0009914072171973228,-0.056597456887743494,0.0010602476350104612,-0.002181613095752599,-0.005750248474093528,35413033.2963924,-488272161.6730251,-464443145.9844773
0.7301289888725333,0.05641525815326738,0.0013446730369993517,-0.0918071531422629,0.0008020764544260824,-0.0013145508460272737,-0.0006873950664811612,67477952.88637668,-274438764.8791655,-55520370.75424764
0.6118330081847769,0.026184279018762472,-0.00457127091479027,-0.06786819034135429,-0.004060384971314503,0.0018908366770065133,-0.003488728416576631,-918757461.7919647,42593727.55219952,-281781910.56965095
0.8786814469265496,0.014252708161137224,-0.007965121456154701,-0.12425145738561831,-0.002037118064750731,0.0006145241921242661,-0.001002072905414375,-501425637.335632,-73083426.609671,-80936657.74500723
0.12015909037639724,0.09794499286720762,0.002406964130694727,-0.0033989925080949047,0.01903758445590257,-0.004206881527762801,-0.0031295262427227244,4872098805.324271,1117223531.0398655,-252769427.29683545
0.3912452516674373,0.02203083250423113,-0.0039708895287983905,-0.030382859571571028,-0.007947526471329921,0.0029653634672161255,0.0033925090028687765,-1887439409.3286202,-124587957.71733576,274010342.5394012
0.4736545989833634,0.06503585315178653,0.002453529871676641,-0.04307044263679069,0.003588885663481152,-0.002563931109221651,-0.0016077644992269768,703920255.0976256,-289996300.4928272,-129857901.86064045
0.09309239902218164,0.03985105915224218,-0.00039848627312365643,-0.0019345929981439984,-0.004311038089193054,0.004406457491466112,0.006076157092708985,-684838032.9788728,723372791.5891461,490766534.41111034
0.7543615953777842,0.05027750460665689,5.898054189826219e-05,-0.09692054045462214,2.8694084243923584e-05,-0.0011965632935582171,-0.003469439247054923,-136856648.28905943,-334782840.0878668,-280223939.18520534
0.7851387920894788,0.06880991444668341,0.004057012520759653,-0.10358799357707946,0.001924358512051444,-0.0010472986777828597,-0.00023138668839250975,417117085.7139271,-62919844.95161426,-18688924.831702713
0.16784154443438135,0.0436861533083026,-0.00043405143372845655,-0.0061153756965211725,-0.0023690335293920536,0.00406891224658381,-0.004026644623776582,-176743187.0881767,863232669.0310013,-325228988.84349316
0.1771226134430088,0.07982888301115268,0.002154490381950551,-0.006885265443832796,0.01119216659008719,-0.004017948669200945,-0.00041514833241446114,2677149466.506072,220130847.6979886,-33531211.46424494
0.3751198755248115,0.01608247795651257,-0.004659987474878422,-0.028166290150633707,-0.009637770030991557,0.0030439228095310022,-0.0011605879953414389,-2355740495.2986646,-307159344.1373283,-93739799.62373161
0.7621715868434076,0.05434955397308125,0.000927915093685495,-0.09861225989186803,0.0004452205478198863,-0.0011586860500181206,-0.002650813061972901,-14518847.349265981,-273611451.61540556,-214104131.92858046
0.3970834301415961,0.08652594844593287,0.005246322636001483,-0.031217052584332827,0.010378962556113092,-0.0029369211252929517,0.005093132471186285,2578233586.259939,427206222.34050167,411368391.90350765
0.5331985774098094,0.012246581225216801,-0.006668628481637033,-0.053311476016032255,-0.008153087988130648,0.002273880364110914,0.0005945634535053645,-2029325906.3773417,-344969480.24601245,48022432.7831256
0.944326758319815,0.0034716473516123725,-0.010488831368173804,-0.1390462215201157,-0.001469267019185035,0.000245966204587722,-0.0007250181761053465,-385550732.55994934,-108474596.41204244,-58559160.37773953
0.6310434515015878,0.00026052082678767465,-0.009710073576525197,-0.07166912020664416,-0.008480172678799136,0.0017972576121020878,-8.722435198085798e-05,-2179534911.963541,-519334634.2025743,-7045043.813838529
0.3336815888427216,0.037385399755470984,-0.0015799280172336648,-0.022596894575778972,-0.0038712257922692067,0.0032457367996717584,0.0013658600311811653,-701132255.931255,448530931.99767005,110319464.05694027
0.5512267466198996,0.043717680308435036,-0.0011339701565963292,-0.05642893952437173,-0.001213895183051605,0.0021860616723028414,-0.005922836653244501,-78309051.06443636,470914748.64666647,-478382960.4543636
0.14336987005351814,0.06936308460447473,0.0011505342266985887,-0.0045175216788547355,0.0076885267144676285,-0.004175769607482512,0.006048498636693551,1667576811.0679674,-248963364.01628602,488532582.19447917
0.4218442900822491,0.0733252950736942,0.003502807584965682,-0.034908177729690563,0.006097715974570067,-0.002816306703220528,-0.002071220910188243,1382571011.4594357,-57386498.029814176,-167290919.6690504
0.13105475342809705,0.009378882543351359,-0.0022150278294806695,-0.003949377860852908,-0.016129483143650137,0.004192276891253847,0.0011870127323974772,-4051770342.245342,-769024490.4531599,95874105.309027
0.9904460149544037,0.08344201102273258,0.007579069474843181,-0.14954889398293172,0.0007447151541772057,-0.0014176154181183565,-0.0014067792182819727,38775685.23575535,-310523868.75045085,-113624475.32277472
0.9785987584576504,0.044145099431686874,-0.0013271287672817584,-0.1468108197142131,3.3396891536852146e-05,-0.00014684030566813888,-0.001257362025414488,-8349223.463799007,-37464463.012297556,-101556163.59117019
0.9610326874383084,0.06212312940979274,0.0027349686927800486,-0.1428285492896782,0.0003276060543055681,-0.000418932333264177,-0.0012584091620825855,41856448.05245261,-78738214.55496775,-101640740.01436268
0.24200407945518096,0.058025852344459075,0.0007673627556009796,-0.012282115896438909,0.0028277230859848276,-0.003692287985367252,0.004672061361246607,352040674.1569861,-701191883.5229652,377358802.2545337
0.5005897379039582,0.008598969926008494,-0.007021379936567944,-0.04757982922112311,-0.008940812566921984,0.0024327243441891744,-0.006429752104235076,-2232765026.2569494,-395501371.38514686,-519326131.49591
0.2300421387926979,0.054598426563540275,0.0004202817469742551,-0.011181454963664714,0.0016201490377414172,-0.00374925487676267,0.0004412261846761384,3767021.753730996,-863598225.9738522,35637499.531534255
0.22395811087068793,0.09028859287484772,0.0035958895982253092,-0.010762923975941566,0.014194752069254163,-0.003778229118289095,-0.0015323711707420778,3555000230.24644,651672499.9509909,-123768440.71378322
0.09068029372796076,0.03151084643728784,-0.0007070108352573041,-0.001891794175223609,-0.007853769811201982,0.004466712817726319,0.005259891649272229,-1679040874.480641,311190934.807777,424837402.4412185
0.7930943059622944,0.020283778073719547,-0.00643351154894999,-0.10531669639098984,-0.003039876885616695,0.0010080976287107912,0.0006363768689089666,-737214906.8786044,-83311331.48724125,51399670.18110885
0.2990189482815453,0.015218131693134579,-0.003985523826247307,-0.018394183172406507,-0.011464851854407768,0.003414490985208269,0.0067269030267964325,-2827346712.557348,-423760561.5424497,543326782.933558
