"Run","Run ID","mse","cv_mean_score","activation","solver","hidden_layer_sizes","learning_rate_init"
"MLP_Model_12","ad255dfb82d246d2bfd58cfa4846f0dd","0.0000054268027389710155","0.000004181290270530607","relu","lbfgs","(100, 100)","0.01"
"MLP_Model_11","e55fb258696f48a8896eafb15e1d3123","0.0002444228375387403","0.0003699770743503391","relu","sgd","(100, 100)","0.01"
"MLP_Model_10","86c4fc8783ff44879d81b11e1fb997bf","0.00003825477923294376","0.00007760215620107851","relu","adam","(100, 100)","0.01"
"MLP_Model_9","26b226e44d7742a2b1ab4987d5dd4813","0.000005812120976454424","0.000008536940882489025","relu","lbfgs","(100,)","1e-06"
"MLP_Model_8","0512472620f4428b9b47819bacf13ef6","0.07036335549239525","0.059614076397782934","relu","sgd","(100,)","1e-06"
"MLP_Model_7","81df9d0942bc4cfeaf98533b12b3ad9c","0.07022092553525533","0.07512827961556073","relu","adam","(100,)","1e-06"
"MLP_Model_6","afe4403b24504cf4955999abcece5fff","0.000005812120976454424","0.000013079372175147478","relu","lbfgs","(100,)","0.0001"
"MLP_Model_5","813761da964d43a185b7721f84b920aa","0.009094515230343407","0.012720881280281574","relu","sgd","(100,)","0.0001"
"MLP_Model_4","3d41f02f0cab422bb9e3e274809f60c3","0.002679414409283399","0.0035138658016605744","relu","adam","(100,)","0.0001"
"MLP_Model_3","7c11d5e1fcf44cedbc30384b59910d2a","0.000005812120976454424","0.000006834741590568701","relu","lbfgs","(100,)","0.01"
"MLP_Model_2","b79615fd956e4adcab40bd7a3fa13334","0.00023762576533533253","0.0004128927948593465","relu","sgd","(100,)","0.01"
"MLP_Model_1","c1ffdbb1c3ff487f81660c13351a8b85","0.00004239288987257283","0.00014215872462560312","relu","adam","(100,)","0.01"
