"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","activation","best_activation","best_hidden_layer_sizes","best_learning_rate_init","best_solver","hidden_layer_sizes","learning_rate_init","solver","cv_best_score","cv_mean_score","cv_std_score","mape","mse","is_best","model_type"
"2025-09-14 16:58:17","5.6s","6b6a5c8159c14fc989e5915aa9a35572","MLP_Model_39","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.01","lbfgs","","0.00005044241610024963","0.000011583920791725271","4.083439966622336","0.0000575735735375766","",""
"2025-09-14 16:59:41","5.7s","1e681d3b7a76435fb1c17405781dae19","MLP_Model_54","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","1e-06","lbfgs","","0.00005411428404029107","0.000011857441429065774","3.781147028149648","0.00005167259503914932","",""
"2025-09-14 16:59:00","5.1s","4b202e0ecfb7443f9d8b41b42670f4f0","MLP_Model_47","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.01","sgd","","0.00007273531911311709","0.000004539979013986593","5.527891647951429","0.00007707363323337554","",""
"2025-09-14 16:55:47","5.1s","86c4fc8783ff44879d81b11e1fb997bf","MLP_Model_10","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.01","adam","","0.00007760215620107851","0.000027360473932332356","4.338025860625136","0.00003825477923294376","",""
"2025-09-14 16:58:12","5.2s","c90160b70116440592b5ad4d516dd6bc","MLP_Model_38","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.01","sgd","","0.00008802710783839582","0.00003216263258879732","4.942537805866389","0.00006316065816322249","",""
"2025-09-14 16:58:55","5.2s","d6afc6545e674d99967fcc8339430827","MLP_Model_46","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.01","adam","","0.00012173469136388456","0.00008984441859253303","4.233764315747916","0.00005545621968016501","",""
"2025-09-14 16:55:01","5.1s","c1ffdbb1c3ff487f81660c13351a8b85","MLP_Model_1","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","0.01","adam","","0.00014215872462560312","0.000032669986672754494","4.3763054429098265","0.00004239288987257283","",""
"2025-09-14 16:58:23","5.6s","c8788b3fa88a46808032e942eb8aa373","MLP_Model_40","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.0001","adam","","0.00019060392266631956","0.00009251876255162433","4.626636094266175","0.00008319215451163345","",""
"2025-09-14 16:57:24","5.0s","2759cdd6775b4955b402736befb4a0b0","MLP_Model_29","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","0.01","sgd","","0.00021590808199385336","0.00011301599895512011","5.80098014940876","0.00009638431009143528","",""
"2025-09-14 16:57:18","5.2s","7352a6931a8f4fc08326fa63358e4df2","MLP_Model_28","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","0.01","adam","","0.00021924460513913797","0.00009700932497864242","10.082643754894072","0.00007979488889151029","",""
"2025-09-14 16:58:07","5.4s","58cedc3a46484d2ebe38c26a18366d78","MLP_Model_37","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.01","adam","","0.00022052676045359142","0.0002242738110341655","9.709351462929535","0.00007315159085017336","",""
"2025-09-14 16:56:37","4.8s","d4a6a8ed85084a10b54e2b9d58a8d099","MLP_Model_20","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","0.01","sgd","","0.00022133292026626792","0.00006704606373931822","7.47708758541078","0.00018016737099977028","",""
"2025-09-14 16:55:52","4.9s","e55fb258696f48a8896eafb15e1d3123","MLP_Model_11","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.01","sgd","","0.0003699770743503391","0.00010376813224730637","7.8525447164184685","0.0002444228375387403","",""
"2025-09-14 16:55:06","5.3s","b79615fd956e4adcab40bd7a3fa13334","MLP_Model_2","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","0.01","sgd","","0.0004128927948593465","0.0001796548204332107","15.105211082886411","0.00023762576533533253","",""
"2025-09-14 16:56:47","4.9s","19bc4038504c43cc80dd230dbaa85402","MLP_Model_22","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","0.0001","adam","","0.0004317222212477689","0.00018510750431798839","15.70392525777581","0.0005460505204036882","",""
"2025-09-14 16:59:11","5.7s","12ce9f30b6234eba963ae0b9aff1af23","MLP_Model_49","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.0001","adam","","0.0005420709288209037","0.0001987309989398675","4.278932624370199","0.000057815944581702143","",""
"2025-09-14 16:56:02","4.9s","2622652181364dd2925701e72de1ea29","MLP_Model_13","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.0001","adam","","0.002205268718930167","0.0011012890672055747","9.43849859719031","0.000412392868852684","",""
"2025-09-14 16:59:17","5.6s","24ec9a2233fb4734b9cd012e88b6d75f","MLP_Model_50","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","0.0001","sgd","","0.0030416563203481024","0.0004566191127212987","78.17495293698178","0.016629364544665813","",""
"2025-09-14 16:55:17","5.0s","3d41f02f0cab422bb9e3e274809f60c3","MLP_Model_4","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","0.0001","adam","","0.0035138658016605744","0.0017623539981986322","19.803813452361943","0.002679414409283399","",""
"2025-09-14 16:58:29","5.8s","4290068835764468a16d913d9bc8ad69","MLP_Model_41","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","0.0001","sgd","","0.0051642496870943945","0.002359383865569306","63.60205642436888","0.004956766808692111","",""
"2025-09-14 16:56:52","5.1s","239a8e74885e4b91b953cf6928f4fba8","MLP_Model_23","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","0.0001","sgd","","0.008587237281339538","0.0007610242495808607","76.19645261298999","0.005480094237273237","",""
"2025-09-14 16:57:39","5.1s","88ae912e7b914767b8fb18983d745fca","MLP_Model_32","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","0.0001","sgd","","0.009028638366270306","0.0011151253214417252","72.04815731010368","0.004735371342650261","",""
"2025-09-14 16:57:34","5.3s","c2367a8e58d3478b8ba1ac130a282bd5","MLP_Model_31","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","0.0001","adam","","0.009166170035084437","0.0024376161877097354","27.950302802938992","0.001309736907957449","",""
"2025-09-14 16:56:07","5.1s","ed891f2759944501b1a97992fc1bc028","MLP_Model_14","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","0.0001","sgd","","0.010116127331266754","0.0024227221871848587","91.86018605008024","0.008667117393674952","",""
"2025-09-14 16:55:22","5.0s","813761da964d43a185b7721f84b920aa","MLP_Model_5","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","0.0001","sgd","","0.012720881280281574","0.0006695839578018916","42.29022186208619","0.009094515230343407","",""
"2025-09-14 16:56:17","4.9s","1bdd4f9f8a554426ab9a38e84ef91f64","MLP_Model_16","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","1e-06","adam","","0.013812511681642539","0.006692519976386608","99.6150013229617","0.00988892180578633","",""
"2025-09-14 16:57:07","5.7s","65b30834234f4eada67558401ee77010","MLP_Model_26","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","1e-06","sgd","","0.035408975165865005","0.04086167703123074","311.3321214863789","0.07173400909043401","",""
"2025-09-14 16:57:02","4.9s","c925d5cd00924bf4a63810da509b51fd","MLP_Model_25","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100, 100)","1e-06","adam","","0.041300784747532744","0.04526549783827797","309.1466747714722","0.07074500080103067","",""
"2025-09-14 16:59:35","5.4s","64626a06f4684c908e7ce548bfac46ae","MLP_Model_53","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","1e-06","sgd","","0.04771804113608689","0.005867012308977137","290.33691996933226","0.13672209502263996","",""
"2025-09-14 16:56:22","4.8s","cd2088736ae946bab5ceddd5cc023691","MLP_Model_17","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100, 100)","1e-06","sgd","","0.04919085896187874","0.050599866109559063","101.10859423200361","0.010116913814797863","",""
"2025-09-14 16:57:55","5.6s","b13cf9b7a19d4ae5b085c3576278dfba","MLP_Model_35","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","1e-06","sgd","","0.05788099703321639","0.04292812740938187","161.48198067197512","0.021816884705922947","",""
"2025-09-14 16:55:37","4.8s","0512472620f4428b9b47819bacf13ef6","MLP_Model_8","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","1e-06","sgd","","0.059614076397782934","0.029508498434161996","81.72396530820993","0.07036335549239525","",""
"2025-09-14 16:58:45","5.0s","24b6ad9e7e204b1b96128d2cece177fb","MLP_Model_44","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","1e-06","sgd","","0.0706837921348663","0.030785271889886612","224.53050618037395","0.052444949597865144","",""
"2025-09-14 16:55:32","4.8s","81df9d0942bc4cfeaf98533b12b3ad9c","MLP_Model_7","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","relu","","","","","(100,)","1e-06","adam","","0.07512827961556073","0.05016078738064677","81.64014952429582","0.07022092553525533","",""
"2025-09-14 16:57:50","5.1s","14c7571c24f646168547ecece04495e6","MLP_Model_34","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100,)","1e-06","adam","","0.08437312419093718","0.04677952728310545","160.65812621727227","0.021591881021706793","",""
"2025-09-14 16:58:40","5.0s","7822df4aede941519c5fe6b162049a25","MLP_Model_43","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100)","1e-06","adam","","0.10451076832273658","0.05414841423396669","221.01232629138116","0.050800426247804564","",""
"2025-09-14 16:59:28","7.5s","558ddd07087641e18be4daa69c03f08b","MLP_Model_52","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","tanh","","","","","(100, 100, 100)","1e-06","adam","","0.1181411520411385","0.07828997721910914","122.14927545809762","0.042702216139002755","",""
"2025-09-14 16:59:47","6.5s","29fb24c5f20e48a885cbcfb6a622a3ae","BEST_MLP_Model","LOCAL","C:\Users\narkh\AppData\Roaming\Python\Python312\site-packages\ipykernel_launcher.py","narkh","FINISHED","","relu","(100, 100)","0.01","lbfgs","","","","0.000004181290270530607","","","2.71728208045726","0.000005033142087984043","true","best_model"
